piR-hsa-1282
piR-hsa-27007
piR-hsa-18758
piR-hsa-11362
piR-hsa-952
piR-hsa-28478
piR-hsa-23786
piR-hsa-27282
piR-hsa-21126
piR-hsa-29218
piR-hsa-12487
piR-hsa-1191
piR-hsa-11360
piR-hsa-2117
piR-hsa-9010
piR-hsa-26131
piR-hsa-6496
piR-hsa-26441
piR-hsa-18287
piR-hsa-28210
piR-hsa-23210
piR-hsa-28231
piR-hsa-29714
piR-hsa-28851
piR-hsa-20266
piR-hsa-3616
piR-hsa-25786
piR-hsa-325
piR-hsa-674
piR-hsa-1245
piR-hsa-1849
piR-hsa-12485
piR-hsa-12488
piR-hsa-23538
piR-hsa-23588
piR-hsa-23919
piR-hsa-26522
piR-hsa-26527
piR-hsa-26570
piR-hsa-26683
piR-hsa-26686
piR-hsa-27065
piR-hsa-27208
piR-hsa-27728
piR-hsa-28374
piR-hsa-28467
piR-hsa-28593
piR-hsa-28840
piR-hsa-28841
piR-hsa-3178
piR-hsa-5936
piR-hsa-5939
piR-hsa-9491
piR-hsa-11341
piR-hsa-15023
piR-hsa-24680
piR-hsa-29289
piR-hsa-29461
piR-hsa-12961
piR-hsa-3814
piR-hsa-7525
piR-hsa-18246
piR-hsa-16414
piR-hsa-9647
piR-hsa-7530
piR-hsa-14215
piR-hsa-6035
piR-hsa-9545
piR-hsa-12648
piR-hsa-13505
piR-hsa-23149
piR-hsa-21840
piR-hsa-3420
piR-hsa-32097
piR-hsa-18854
piR-hsa-19192
piR-hsa-6315
piR-hsa-24773
piR-hsa-18926
piR-hsa-24726
piR-hsa-13940
piR-hsa-25418
piR-hsa-4543
piR-hsa-15706
piR-hsa-21508
piR-hsa-5103
piR-hsa-21509
piR-hsa-18847
piR-hsa-12526
piR-hsa-3579
piR-hsa-14934
piR-hsa-21675
piR-hsa-6409
piR-hsa-25440
piR-hsa-20485
piR-hsa-28123
piR-hsa-18482
piR-hsa-20394
piR-hsa-5749
piR-hsa-19597
piR-hsa-3577
piR-hsa-27600
piR-hsa-18863
piR-hsa-25705
piR-hsa-5698
piR-hsa-19303
piR-hsa-19848
piR-hsa-19849
piR-hsa-13957
piR-hsa-17929
piR-hsa-27745
piR-hsa-18939
piR-hsa-19616
piR-hsa-31133
piR-hsa-20683
piR-hsa-30893
piR-hsa-18524
piR-hsa-28628
piR-hsa-19059
piR-hsa-26894
piR-hsa-18729
piR-hsa-28357
piR-hsa-10346
piR-hsa-21309
piR-hsa-1301
piR-hsa-19829
piR-hsa-10707
piR-hsa-10927
piR-hsa-12719
piR-hsa-2153
piR-hsa-23533
piR-hsa-619
piR-hsa-30143
piR-hsa-31237
piR-hsa-26496
piR-hsa-21167
piR-hsa-27133
piR-hsa-180
piR-hsa-27134
piR-hsa-24094
piR-hsa-28187
piR-hsa-28419
piR-hsa-13049
piR-hsa-20757
piR-hsa-335
piR-hsa-30468
piR-hsa-28401
piR-hsa-8113
piR-hsa-20930
piR-hsa-28160
piR-hsa-31821
piR-hsa-6463
piR-hsa-13295
piR-hsa-23679
piR-hsa-26399
piR-hsa-15126
piR-hsa-14351
piR-hsa-13437
piR-hsa-27926
piR-hsa-28769
piR-hsa-12391
piR-hsa-8129
piR-hsa-13564
piR-hsa-25779
piR-hsa-14020
piR-hsa-11129
piR-hsa-23944
piR-hsa-27315
piR-hsa-21187
piR-hsa-1470
piR-hsa-8401
piR-hsa-26009
piR-hsa-196
piR-hsa-18505
piR-hsa-5627
piR-hsa-17512
piR-hsa-5639
piR-hsa-13462
piR-hsa-28402
piR-hsa-18201
piR-hsa-28405
piR-hsa-20301
piR-hsa-13176
piR-hsa-18497
piR-hsa-5399
piR-hsa-28404
piR-hsa-23491
piR-hsa-22558
piR-hsa-25991
piR-hsa-28431
piR-hsa-28733
piR-hsa-13937
piR-hsa-30330
piR-hsa-30870
piR-hsa-28590
piR-hsa-18503
piR-hsa-26592
piR-hsa-15663
piR-hsa-3442
piR-hsa-12516
piR-hsa-15209
piR-hsa-14366
piR-hsa-20759
piR-hsa-7255
piR-hsa-7559
piR-hsa-21046
piR-hsa-28709
piR-hsa-13348
piR-hsa-28091
piR-hsa-5136
piR-hsa-5748
piR-hsa-8009
piR-hsa-17491
piR-hsa-17434
piR-hsa-23505
